Time,Latitude,Longitude,Altitude,Angle of Attack,Angle of Sideslip,X-Acceleration,Y-Acceleration,Z-Acceleration,Thrust,True Velocity,Ground Velocity,Pitch,Roll,Yaw,Dynamic Pressure,parachute_deploy_gain,Wind Speed,Mach,Angle of Attack(total),Angle of Attack(gust),True Velocity(gust),Acceleration
0.0,40.242864999999995,140.01045,5.400029662165046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989650651190621e-13,79.99999999569611,282.9999999847757,0.0,0,0.0,0.0,0.0,90.0,0.0,0.0
0.01,40.24286499999995,140.01045000000013,5.400029580411315,0.0,0.0,0.0,0.0,0.0,0.0,5.254855059445511e-12,5.191827446567288e-12,-1.483602837910738e-12,79.99999999570157,282.99999998477386,1.690465543059848e-23,0,0.0,1.5443065550440163e-14,0.0,89.99999999996653,5.254855059445511e-12,0.0
0.02,40.24286499999994,140.0104500000002,5.4000295622438195,0.0,0.0,0.0,0.0,0.0,1.8663281614264753,5.173681225514782e-12,5.118911421138357e-12,-2.8389930848909612e-12,79.99999999570699,282.9999999847723,1.6386423396915682e-23,0,0.0,1.5204510381136597e-14,0.0,89.99999999996706,5.173681225514782e-12,0.0
0.03,40.24286499999993,140.0104500000002,5.400029556566477,0.0,0.0,0.0,0.0,0.0,0.0,6.6405805852418885e-12,6.556835125076069e-12,-4.194383331871207e-12,79.99999999571233,282.9999999847707,2.6995846009922316e-23,0,0.0,1.9515461437230264e-14,0.0,89.99999999995772,6.6405805852418885e-12,0.0
0.04,40.24286499999994,140.0104500000002,5.400029555431009,0.0,0.0,0.0,0.0,0.0,0.0,6.640580585241975e-12,6.556834547021893e-12,-5.751250507456677e-12,79.99999999571777,282.99999998476886,2.6995846009925983e-23,0,0.0,1.9515461437230273e-14,0.0,89.99999999995772,6.640580585241975e-12,0.0
0.05,40.24286499999994,140.0104500000002,5.400029555431009,0.0,0.0,0.0,0.0,0.0,0.0,6.661973187720291e-12,6.58118533327198e-12,-7.216537260948946e-12,79.99999999572333,282.99999998476704,2.717006018295196e-23,0,0.0,1.9578330414324743e-14,0.0,89.99999999995758,6.661973187720291e-12,0.0
0.06,40.24286499999992,140.01045000000033,5.400029499793053,0.0,0.0,0.0,0.0,0.0,0.0,9.807424228726268e-12,9.676981219331566e-12,-8.608559676766576e-12,79.99999999572879,282.99999998476545,5.888365540195472e-23,0,0.0,2.882224029620311e-14,0.0,89.99999999993756,9.807424228726268e-12,0.0
0.07,40.24286499999992,140.01045000000033,5.4000294986575845,0.0,0.0,0.0,0.0,0.0,0.0,9.774004538238718e-12,9.652417599866158e-12,-1.0055530345840254e-11,79.99999999573424,282.99999998476375,5.848303631209231e-23,0,0.0,2.8724025889708976e-14,0.0,89.99999999993777,9.774004538238718e-12,0.0
0.08,40.2428649999999,140.0104500000004,5.400029461187125,0.0,0.0,0.0,0.0,0.0,0.0,1.185889951288964e-11,1.1700162395170747e-11,-1.1612397521425847e-11,79.99999999573981,282.9999999847619,8.609414503481272e-23,0,0.0,3.48511539255882e-14,0.0,89.99999999992451,1.185889951288964e-11,0.0
0.09,40.2428649999999,140.0104500000004,5.400029461187125,0.0,0.0,0.0,0.0,0.0,0.0,1.1907502384931307e-11,1.1748884161312246e-11,-1.3077684274918274e-11,79.99999999574527,282.99999998476017,8.680129285950633e-23,0,0.0,3.4993988947750983e-14,0.0,89.99999999992419,1.1907502384931307e-11,0.0
0.1,40.2428649999999,140.0104500000004,5.400029461187125,0.0,0.0,0.0,0.0,0.0,0.0,1.1831479000645644e-11,1.167569692930956e-11,-1.4506338859573428e-11,79.9999999957507,282.9999999847585,8.569646626854079e-23,0,0.0,3.4770570015428975e-14,0.0,89.99999999992468,1.1831479000645644e-11,0.0
0.11,40.242864999999874,140.01045000000053,5.400029398736358,0.0,0.0,0.0,0.0,0.0,0.0,1.5302778510583394e-11,1.5088745521840614e-11,-1.5934993444228488e-11,79.99999999575607,282.9999999847568,1.4335915229859786e-22,0,0.0,4.4972089423767804e-14,0.0,89.99999999990257,1.5302778510583394e-11,0.0
0.12,40.242864999999874,140.01045000000053,5.400029397600889,0.0,0.0,0.0,0.0,0.0,0.0,1.5302778510583594e-11,1.5088744120965172e-11,-1.7381964113302378e-11,79.99999999576157,282.9999999847551,1.433591522986174e-22,0,0.0,4.497208942376784e-14,0.0,89.99999999990257,1.5302778510583594e-11,0.0
